event_time,user_host,thread_id,server_id,command_type,argument
"2021-12-12 15:16:41.649732,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:41.775631,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:41.893918,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:41.974701,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:41.976606,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:41.997441,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:42.012161,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:42.029678,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:42.038091,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:42.040076,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:42.040809,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:42.041786,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:42.043518,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:42.044556,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:42.045216,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:42.046723,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:42.046796,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:42.049657,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:42.056711,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:42.058365,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:42.058735,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:42.059753,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:42.061184,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:42.062890,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:44.752857,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:44.763198,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:44.793858,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:44.794469,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:44.796105,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:52.653028,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:52.683162,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:52.684181,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:52.684682,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:52.686375,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:17:58.523165,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.538021,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.541239,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.543450,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.575582,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.613214,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.615938,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.618510,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.658575,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.787745,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.790681,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:17:58.800939,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:18:18.572491,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:18:18.583389,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:18:18.584568,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:18:18.585090,""root[root] @ localhost [::1]"",24,1,Query,..."
